x_m,y_m,z_m,pressure_Pa,temperature_K
0.261386549,0.300982301,0.00335123473,508.249532,319.782056
0.24968826,0.290011461,0.00150000001,497.084849,319.062419
0.25220744,0.287129643,0.00350000011,489.6327,318.538329
0.249715091,0.291003738,0.00150000001,505.397678,319.117108
0.251749813,0.286876506,0.00150000001,497.350147,318.857209
0.248807507,0.290565217,0.00150000001,507.567702,319.096254
0.253980821,0.295729719,0.00150000001,499.749322,319.443737
0.250103521,0.288198768,0.00350000011,509.571254,318.447332
0.252034686,0.285822189,0.00283336879,496.731956,318.678177
0.255515572,0.297993901,0.00350000011,506.186076,319.178397
0.257915292,0.300410839,0.00350000011,510.10084,319.529003
0.251631538,0.294539481,0.00350000011,505.33271,318.82021
0.254995969,0.298276542,0.00350000011,507.383982,319.240089
0.25928285,0.301855087,0.00274133613,517.70856,319.891872
0.249657356,0.293267905,0.00350000011,503.157255,318.749734
0.251205106,0.295314784,0.00350000011,503.591633,318.950724
0.258238552,0.301847265,0.00350000011,514.676425,319.77074
0.248297175,0.287712309,0.00150000001,512.43377,318.926897
0.251087792,0.295024295,0.00150000001,505.862772,319.443076
0.249879958,0.294536448,0.00150000001,506.352682,319.427254
0.250430097,0.284930741,0.00233348095,504.082875,318.686248
0.245805344,0.289667127,0.00150000001,501.638516,319.140234
0.250639066,0.29582186,0.00150000001,506.051058,319.534363
0.244815964,0.29018927,0.00350000011,503.309358,318.659519
0.245719031,0.291738741,0.00350000011,512.227352,318.770035
0.254847661,0.301112451,0.00233340755,511.190431,319.888641
0.249900772,0.284810053,0.00150000001,516.272128,318.765604
0.246344557,0.288022963,0.00150000001,509.243038,319.000561
0.245799624,0.291775755,0.00150000001,508.511815,319.329025
0.247477913,0.294078555,0.00150000001,507.199024,319.468368
0.249285589,0.284294908,0.00216676873,507.16952,318.669561
0.24807251,0.284313383,0.00350000011,511.026908,318.493522
0.249053383,0.284165904,0.00333336641,513.831432,318.602185
0.245869859,0.286713695,0.00350000011,509.36689,318.429872
0.248368007,0.283785141,0.00283353528,516.247893,318.613671
0.2419594,0.289912965,0.00350000011,503.664184,318.785499
0.247052025,0.296781542,0.00266038575,507.711516,319.695667
0.242964797,0.291572786,0.00150000001,510.503635,319.40833
0.244935271,0.29335772,0.00150000001,510.299181,319.496756
0.248921446,0.29782011,0.00166688972,506.956454,319.772746
0.244237989,0.286957377,0.00150000001,519.935688,318.976667
0.240405902,0.290834443,0.00150000001,511.076201,319.438836
0.238826187,0.290264784,0.00350000011,511.133959,319.055826
0.242187026,0.294078764,0.00293839494,511.615225,319.615923
0.242908102,0.285748347,0.00150000001,504.666349,318.961603
0.241541389,0.286723202,0.00350000011,503.196849,318.506147
0.241160823,0.286914667,0.00150000001,508.580464,319.107848
0.240743304,0.292930104,0.00150000001,512.454706,319.616936
0.238782658,0.291302332,0.00350000011,512.68026,319.239429
0.239244264,0.292443907,0.00252984597,513.85203,319.600842
0.239923176,0.29282107,0.00164332083,512.666041,319.652459
0.241448002,0.285111099,0.00350000011,505.169482,318.423697
0.236553928,0.290949263,0.00258117532,512.723071,319.546947
0.237852931,0.291670939,0.00203132032,513.229688,319.603189
0.241006914,0.285408046,0.00350000011,503.654861,318.439257
0.237015191,0.291205529,0.00336789486,512.285875,319.48244
0.242094942,0.282634256,0.00350000011,516.913853,318.379284
0.239269652,0.285424572,0.00150000001,496.679003,319.047345
0.24164095,0.282207087,0.00350000011,514.131333,318.37048
0.238647749,0.285646631,0.00350000011,487.631516,318.512848
0.23747718,0.286651194,0.00350000011,495.649184,318.640723
0.241371107,0.282059854,0.00350000011,518.652926,318.359469
0.238195436,0.285400389,0.00350000011,489.848175,318.501793
0.236435817,0.286912146,0.00350000011,496.757444,318.718801
0.242589143,0.280574661,0.002575205,514.142453,318.503494
0.240920791,0.281616037,0.00350000011,531.597426,318.345733
0.233883258,0.288087043,0.00150000001,484.171275,319.386589
0.23506406,0.286602411,0.00350000011,481.45362,318.752075
0.241343782,0.280058035,0.00150000001,514.170099,318.603154
0.23782926,0.283269468,0.00150000001,486.384095,318.909615
0.233132391,0.287844829,0.00150000001,463.233884,319.380264
0.24107236,0.279732002,0.00324280622,519.53924,318.422774
0.235857634,0.284052961,0.00150000001,475.19821,318.988482
0.23350326,0.285097016,0.00150000001,460.021594,319.10624
0.233616884,0.284676151,0.00150000001,469.520753,319.044701
0.231040531,0.287886269,0.00176518506,447.104909,319.425587
0.230054914,0.287338706,0.00279495688,457.506476,319.339145
0.237463684,0.27938168,0.00150000001,521.279706,318.591233
0.232068914,0.285028789,0.00150000001,445.154131,319.130382
0.235303786,0.280357118,0.00350000011,499.099584,318.229519
0.232685916,0.282361814,0.00350000011,472.40784,318.328449
0.235450897,0.279559714,0.00350000011,522.206861,318.201023
0.228668899,0.286568707,0.00277579438,468.012206,319.300945
0.235438475,0.279030579,0.00350000011,520.70354,318.188433
0.229533799,0.284801806,0.00150000001,468.708321,319.150321
0.228937852,0.28481501,0.00150000001,472.417476,319.161495
0.228002151,0.286198287,0.00323005282,471.624885,319.225399
0.231357397,0.280870514,0.00350000011,496.851067,318.220667
0.227543195,0.285943308,0.00320716709,472.473926,319.208084
0.22731487,0.285643278,0.00150000001,472.849068,319.261101
0.230203352,0.279540966,0.00150000001,540.632544,318.663773
0.227708404,0.281715826,0.00150000001,497.76841,318.825398
0.228446706,0.279968414,0.00350000011,542.425999,318.150043
0.22576725,0.282531565,0.00150000001,473.777776,318.917299
0.225914742,0.28226684,0.00150000001,471.802889,318.886175
0.224423346,0.283344437,0.00150000001,474.001654,319.005628
0.225484739,0.282029968,0.00350000011,484.082163,318.430565
0.228576917,0.278269244,0.00350000011,582.375008,318.036369
