x_m,y_m,z_m,temperature_K
0.286480715,0.270592956,0.00499999989,317.652535
0.285403884,0.266384435,0.00499999989,317.158166
0.286476546,0.27197255,0.00499999989,317.731365
0.293023015,0.255298194,0.00499999989,315.954398
0.260374136,0.299087493,0.00499999989,319.382456
0.271662467,0.285044233,0.00499999989,318.637892
0.278304679,0.278478657,0.00499999989,318.434292
0.278175094,0.278573098,0.00499999989,318.434292
0.287741052,0.261669168,0.00499999989,316.129432
0.270676975,0.284361841,0.00499999989,318.648196
0.283053147,0.272895496,0.00499999989,318.00909
0.294685211,0.239903066,0.00499999989,316.487621
0.291033952,0.245069803,0.00499999989,316.44748
0.298983698,0.237219356,0.00499999989,316.41438
0.294629901,0.23790299,0.00499999989,316.46772
0.291755196,0.254811721,0.00499999989,315.929907
0.287288939,0.261732837,0.00499999989,316.198058
0.27392955,0.280995961,0.00499999989,318.594048
0.288148998,0.259709507,0.00499999989,315.874897
0.247643478,0.308072084,0.00499999989,320.259729
0.247644082,0.307348838,0.00499999989,320.259729
0.275778512,0.278240781,0.00499999989,318.523304
0.270312792,0.283270066,0.00499999989,318.674206
0.265104149,0.289710434,0.00499999989,318.627517
0.259581226,0.297388938,0.00499999989,319.1084
0.267177438,0.286827371,0.00499999989,318.668829
0.287981169,0.25722747,0.00499999989,315.776118
0.290127664,0.254290605,0.00499999989,315.923295
0.290147551,0.254102198,0.00499999989,315.923295
0.286947096,0.248602027,0.00499999989,316.2657
0.259939026,0.294732097,0.00499999989,318.785175
0.252220423,0.300475078,0.00499999989,319.747625
0.264926935,0.288789033,0.00499999989,318.634999
0.286175361,0.242296753,0.00499999989,316.415048
0.286960962,0.239213342,0.00499999989,316.410487
0.260430333,0.293152686,0.00499999989,318.669999
0.2651565,0.287770537,0.00499999989,318.659476
0.285839022,0.258094991,0.00499999989,315.877432
0.258551019,0.294771391,0.00499999989,318.775506
0.246196866,0.301940874,0.00499999989,320.032477
0.251491512,0.299493638,0.00499999989,319.649349
0.271252913,0.279486944,0.00499999989,318.671319
0.273429306,0.261913678,0.00499999989,317.32142
0.286809944,0.251335473,0.00499999989,316.022355
0.256843821,0.296289219,0.00499999989,318.96779
0.25832256,0.294894879,0.00499999989,318.78781
0.268842663,0.281316758,0.00499999989,318.745095
0.271693073,0.2767351,0.00499999989,318.591067
0.272926606,0.260295297,0.00499999989,317.221648
0.285824514,0.256490086,0.00499999989,315.79043
0.254958321,0.297590868,0.00499999989,319.184841
0.265860303,0.284525397,0.00499999989,318.75906
0.281284329,0.259606828,0.00499999989,316.387692
0.255552458,0.296490682,0.00499999989,318.989224
0.260847358,0.288292677,0.00499999989,318.677889
0.276039022,0.2593318,0.00499999989,316.849098
0.279802419,0.258402523,0.00499999989,316.292755
0.282623073,0.258196787,0.00499999989,316.051193
0.256084041,0.293897247,0.00499999989,318.706001
0.240363745,0.300244625,0.00499999989,320.103878
0.274150732,0.258250343,0.00499999989,316.861833
0.26781045,0.261112251,0.00499999989,317.544571
0.267658842,0.260686611,0.00499999989,317.544571
0.285464455,0.254559458,0.00499999989,315.793194
0.264122498,0.282166823,0.00499999989,318.821939
0.284600601,0.252064835,0.00499999989,315.871302
0.252951894,0.295560349,0.00499999989,318.948968
0.255823785,0.2932584,0.00499999989,318.642856
0.246273072,0.296052587,0.00499999989,319.450753
0.251457781,0.295999597,0.00499999989,319.093573
0.265076012,0.274453182,0.00499999989,318.59901
0.2597529,0.287090796,0.00499999989,318.749261
0.263880116,0.267657464,0.00499999989,318.216065
0.270954163,0.256737358,0.00499999989,316.870561
0.266963733,0.257333426,0.00499999989,317.127124
0.266508725,0.257840226,0.00499999989,317.210933
0.283068536,0.255789418,0.00499999989,315.825479
0.255173735,0.292697571,0.00499999989,318.623778
0.232581608,0.304400697,0.00499999989,320.449284
0.262839592,0.275038534,0.00499999989,318.672609
0.270465448,0.256500294,0.00499999989,316.799327
0.268614538,0.2562266,0.00499999989,316.944763
0.255724255,0.291089186,0.00499999989,318.557093
0.261230976,0.280679929,0.00499999989,318.823674
0.277255379,0.256560163,0.00499999989,316.195879
0.265412742,0.255690811,0.00499999989,317.019939
0.274066107,0.255514788,0.00499999989,316.384575
0.282537831,0.254152129,0.00499999989,315.798491
0.28289195,0.25271727,0.00499999989,315.813719
0.253097103,0.293718384,0.00499999989,318.732991
0.235874711,0.296572879,0.00499999989,320.015887
0.259882155,0.280215322,0.00499999989,318.811269
0.257792839,0.286782603,0.00499999989,318.751747
0.258022337,0.285457653,0.00499999989,318.79218
0.275701721,0.24361347,0.00499999989,316.062872
0.276193566,0.244200448,0.00499999989,316.045312
0.253158328,0.291487738,0.00499999989,318.56596
0.229810846,0.305739377,0.00499999989,320.507135
0.257145454,0.286821547,0.00499999989,318.740874
0.272045799,0.238576493,0.00499999989,316.011064
0.271804244,0.237218988,0.00499999989,315.966771
0.25519459,0.289366894,0.00499999989,318.56674
0.227895734,0.304645915,0.00499999989,320.487982
0.251538438,0.293139607,0.00499999989,318.70155
0.256976973,0.28132832,0.00499999989,318.811549
0.25628633,0.278298895,0.00499999989,318.76314
0.256563267,0.286451318,0.00499999989,318.747694
0.275100038,0.244778503,0.00499999989,315.956735
0.274873678,0.244632294,0.00499999989,315.956735
0.278961394,0.250789732,0.00499999989,315.812732
0.277393836,0.254078924,0.00499999989,315.939037
0.264635966,0.253695724,0.00499999989,316.740331
0.255994276,0.287746711,0.00499999989,318.66157
0.273632992,0.244006964,0.00499999989,315.925673
0.271029541,0.238901456,0.00499999989,315.957398
0.277211547,0.253480788,0.00499999989,315.912369
0.22703122,0.300731122,0.00499999989,320.368922
0.228941706,0.295309912,0.00499999989,320.044386
0.273019034,0.242795919,0.00499999989,315.951314
0.276811882,0.249169895,0.00499999989,315.822231
0.276870015,0.249332112,0.00499999989,315.822231
0.248997035,0.291444194,0.00499999989,318.620111
0.227209785,0.297662369,0.00499999989,320.192951
0.224267866,0.308663264,0.00499999989,320.560285
0.250338187,0.277312758,0.00499999989,318.66274
0.252991538,0.268968243,0.00499999989,318.305482
0.274103953,0.245604591,0.00499999989,315.868344
0.276417586,0.249722566,0.00499999989,315.81557
0.277458692,0.251693329,0.00499999989,315.825394
0.255300847,0.258833599,0.00499999989,317.465421
0.264028577,0.252003832,0.00499999989,316.51427
0.265848317,0.252112732,0.00499999989,316.383364
0.250446393,0.291399407,0.00499999989,318.582059
0.243691099,0.291234675,0.00499999989,318.858592
0.251761553,0.281057081,0.00499999989,318.722664
0.273213085,0.245346399,0.00499999989,315.855871
0.273292537,0.24630108,0.00499999989,315.827845
0.254632537,0.257178567,0.00499999989,317.288524
0.268751197,0.251780645,0.00499999989,316.191947
0.246545283,0.290714663,0.00499999989,318.678725
0.248840835,0.280314629,0.00499999989,318.662643
0.268321494,0.23962826,0.00499999989,315.841096
0.275653825,0.250257046,0.00499999989,315.824007
0.273998467,0.251404473,0.00499999989,315.884895
0.222293283,0.29802661,0.00499999989,320.183418
0.227206075,0.290114894,0.00499999989,319.611032
0.249133523,0.270956717,0.00499999989,318.387785
0.251563622,0.2860033,0.00499999989,318.588405
0.271978434,0.246761435,0.00499999989,315.794755
0.2715535,0.244916848,0.00499999989,315.81024
0.259033849,0.251194264,0.00499999989,316.473024
0.256949257,0.253073454,0.00499999989,316.72017
0.268183334,0.250372839,0.00499999989,316.017614
0.235060444,0.289031002,0.00499999989,319.132307
0.228421685,0.288385512,0.00499999989,319.407075
0.250797091,0.260129671,0.00499999989,317.545883
0.252089284,0.25672038,0.00499999989,317.17726
0.248197016,0.288784907,0.00499999989,318.48723
0.241333632,0.288453489,0.00499999989,318.696875
0.223678891,0.289380402,0.00499999989,319.543687
0.248267811,0.265361784,0.00499999989,317.955659
0.248648452,0.26541665,0.00499999989,317.955659
0.270733292,0.246082245,0.00499999989,315.777982
0.262410583,0.248971636,0.00499999989,316.04892
0.256178254,0.251766289,0.00499999989,316.427863
0.261011256,0.24897682,0.00499999989,316.033499
0.244463602,0.288193017,0.00499999989,318.556065
0.23470064,0.288399621,0.00499999989,319.027111
0.21860219,0.298507619,0.00499999989,320.15431
0.24016153,0.288025555,0.00499999989,318.6738
0.27096804,0.248544344,0.00499999989,315.812161
0.250754427,0.256922427,0.00499999989,317.138767
0.264192973,0.248659508,0.00499999989,315.976173
0.254860757,0.252513173,0.00499999989,316.549053
0.231401297,0.287458816,0.00499999989,319.127139
0.237780143,0.287639075,0.00499999989,318.795875
0.217669406,0.291856957,0.00499999989,319.648885
0.249104215,0.258374582,0.00499999989,317.217501
0.251129429,0.255980774,0.00499999989,316.970436
0.247681784,0.260042955,0.00499999989,317.394943
0.245662448,0.264305881,0.00499999989,317.784053
0.25767758,0.249497403,0.00499999989,316.115527
0.262616451,0.247636837,0.00499999989,315.867897
0.261079858,0.247430555,0.00499999989,315.841892
0.231360002,0.287098715,0.00499999989,319.035649
0.234287898,0.287158923,0.00499999989,318.876585
0.237779305,0.287259424,0.00499999989,318.726638
0.213931467,0.306950054,0.00499999989,320.400132
0.244815469,0.281259644,0.00499999989,318.511325
0.247504934,0.285013071,0.00499999989,318.477937
0.266609957,0.242829501,0.00499999989,315.705303
0.256392597,0.250164492,0.00499999989,316.149532
0.245196072,0.286958734,0.00499999989,318.4644
0.212720917,0.297544949,0.00499999989,319.96232
0.268338791,0.246436489,0.00499999989,315.755069
0.252644594,0.251574974,0.00499999989,316.297415
0.239328396,0.286232318,0.00499999989,318.554528
0.239480849,0.286320779,0.00499999989,318.554528
0.235574506,0.285640336,0.00499999989,318.648989
0.227888646,0.285447077,0.00499999989,318.952267
0.245266423,0.283292926,0.00499999989,318.462758
0.242305741,0.280781176,0.00499999989,318.426909
0.26660682,0.243760212,0.00499999989,315.702525
0.265230525,0.243258743,0.00499999989,315.67793
0.265368178,0.243889854,0.00499999989,315.689081
0.253680498,0.250607963,0.00499999989,316.194474
0.216080599,0.288417463,0.00499999989,319.268203
0.238982233,0.285623464,0.00499999989,318.506046
0.22436701,0.284605283,0.00499999989,318.950995
0.221524492,0.284086951,0.00499999989,318.883391
0.243687361,0.282330882,0.00499999989,318.445983
0.239530308,0.277737137,0.00499999989,318.356245
0.265699946,0.244938164,0.00499999989,315.704748
0.250393829,0.253287035,0.00499999989,316.42711
0.255607713,0.247555598,0.00499999989,315.867299
0.260183473,0.245893468,0.00499999989,315.742465
0.219024188,0.285121405,0.00499999989,318.941368
0.215671195,0.287671188,0.00499999989,319.108264
0.229894262,0.283906088,0.00499999989,318.604518
0.238386658,0.277125711,0.00499999989,318.309276
0.264544498,0.244371229,0.00499999989,315.687234
0.257167564,0.246706615,0.00499999989,315.800243
0.242454423,0.284670033,0.00499999989,318.423298
0.22344451,0.283413851,0.00499999989,318.728657
0.214522784,0.287856034,0.00499999989,319.060604
0.2296866,0.283348798,0.00499999989,318.535738
0.212937393,0.288977826,0.00499999989,319.192061
0.206573129,0.307915514,0.00499999989,320.250879
0.206480861,0.308660003,0.00499999989,320.243339
0.240453465,0.262577426,0.00499999989,317.397958
0.240922703,0.26259487,0.00499999989,317.403094
0.247526063,0.254429182,0.00499999989,316.467754
0.232845648,0.282955823,0.00499999989,318.408971
0.206188328,0.301611941,0.00499999989,320.023763
0.20955032,0.291710024,0.00499999989,319.37554
0.21678292,0.285775851,0.00499999989,318.90691
0.217686757,0.28520701,0.00499999989,318.819415
0.216295315,0.286142537,0.00499999989,318.928199
0.228535291,0.282656652,0.00499999989,318.471163
0.234142205,0.270745668,0.00499999989,317.928255
0.261527319,0.243688899,0.00499999989,315.667486
0.233231473,0.282266176,0.00499999989,318.35851
0.209553302,0.290943929,0.00499999989,319.244488
0.22155346,0.282246995,0.00499999989,318.549327
0.211762894,0.288351297,0.00499999989,319.027751
0.237002196,0.278095842,0.00499999989,318.244379
0.237760901,0.278810975,0.00499999989,318.27737
0.239664841,0.281785788,0.00499999989,318.3442
0.246329936,0.254103439,0.00499999989,316.437792
0.249000055,0.251261918,0.00499999989,316.151205
0.252591652,0.248079295,0.00499999989,315.913369
0.251367894,0.248820689,0.00499999989,315.982135
0.209412702,0.290381279,0.00499999989,319.172804
0.210026183,0.289814266,0.00499999989,319.124485
0.238818274,0.281859669,0.00499999989,318.335644
0.217248235,0.28427397,0.00499999989,318.634666
0.236924989,0.263430554,0.00499999989,317.275147
0.24301404,0.257108095,0.00499999989,316.671508
0.248395549,0.251348054,0.00499999989,316.173981
0.251879905,0.247956849,0.00499999989,315.924052
0.249907459,0.249506448,0.00499999989,316.045803
0.250825007,0.24821987,0.00499999989,315.957154
0.210927295,0.288101112,0.00499999989,318.874991
0.230367409,0.280672596,0.00499999989,318.22179
0.23705116,0.263215342,0.00499999989,317.174957
